index,category,HHSIZE,INCOME,ROOMS
Shelter,N,29226.0,26366.0,29019.0
Shelter,P_value,-0.0,0.0,0.0
Shelter,R_adj_square,0.027,0.091,0.004421046501582926
Smallappliancesmiscellaneoushousewares,N,2740.0,2593.0,2724.0
Smallappliancesmiscellaneoushousewares,P_value,-0.0,0.0,0.0
Smallappliancesmiscellaneoushousewares,R_adj_square,0.009,0.036,0.030425222538461805
Telephoneservices,N,26763.0,24273.0,26638.0
Telephoneservices,P_value,-0.0,0.0,0.0
Telephoneservices,R_adj_square,0.084,0.082,0.04820219323131614
Televisionsradiosandsoundequipment,N,23634.0,21625.0,23526.0
Televisionsradiosandsoundequipment,P_value,-0.0,0.0,0.0
Televisionsradiosandsoundequipment,R_adj_square,0.01,0.015,0.02138980664606982
Tobaccoandsmokingsupplies,N,5663.0,5352.0,5645.0
Tobaccoandsmokingsupplies,P_value,-0.0,0.0,0.0
Tobaccoandsmokingsupplies,R_adj_square,0.012,0.015,0.010753309354151086
Totalexpenditures,N,29981.0,27002.0,29693.0
Totalexpenditures,P_value,-0.0,0.0,0.0
Totalexpenditures,R_adj_square,0.121,0.266,0.10938172440632554
Totalfood,N,29777.0,26845.0,29511.0
Totalfood,P_value,-0.0,0.0,0.0
Totalfood,R_adj_square,0.162,0.135,0.07142788949428991
Transportation,N,28211.0,25559.0,27999.0
Transportation,P_value,-0.0,0.0,0.0
Transportation,R_adj_square,0.079,0.113,0.050432136980579356
Vehiclefinancecharges,N,8651.0,8054.0,8626.0
Vehiclefinancecharges,P_value,-0.0,0.0,0.0
Vehiclefinancecharges,R_adj_square,0.007,0.009,0.002844266236922466
Vehicleinsurance,N,10259.0,9476.0,10235.0
Vehicleinsurance,P_value,-0.0,0.0,0.0
Vehicleinsurance,R_adj_square,0.032,0.053,0.04199694890568806
Vehiclerentalleaseslicensesandothercharges,N,10387.0,9722.0,10335.0
Vehiclerentalleaseslicensesandothercharges,P_value,-0.0,0.0,0.0
Vehiclerentalleaseslicensesandothercharges,R_adj_square,0.005,0.02,0.0037892673132021715
Waterandotherpublicservices,N,17847.0,16288.0,17778.0
Waterandotherpublicservices,P_value,-0.0,0.0,0.0
Waterandotherpublicservices,R_adj_square,0.049,0.016,0.0309752470399568
