index,N,adj_r2,p value,parameter,HHSIZE,INCOME,ROOMS
Othervehicles,747,0.059,0.0,Beta,-0.146,0.267,0.349
Othervehicles, , , ,SE,0.095,0.048,0.136
Personalcare,3749,0.034,0.0,Beta,0.032,0.18,0.337
Personalcare, , , ,SE,0.048,0.023,0.069
Personalinsuranceandpensions,12475,0.086,0.0,Beta,-0.132,0.264,0.706
Personalinsuranceandpensions, , , ,SE,0.026,0.012,0.036
Petstoysandplaygroundequipment,10010,0.058,0.0,Beta,0.04,0.196,0.412
Petstoysandplaygroundequipment, , , ,SE,0.025,0.012,0.037
Prescriptiondrugs,8195,0.035,0.0,Beta,0.067,0.136,0.449
Prescriptiondrugs, , , ,SE,0.033,0.015,0.045
Publicandothertransportation,9690,0.021,0.0,Beta,0.095,0.181,0.069
Publicandothertransportation, , , ,SE,0.034,0.015,0.048
Publicandothertransportationontrips,5238,0.076,0.0,Beta,0.098,0.273,0.308
Publicandothertransportationontrips, , , ,SE,0.043,0.019,0.052
Reading,16307,0.084,0.0,Beta,0.193,0.18,0.257
Reading, , , ,SE,0.016,0.007,0.022
Shelter,26810,0.188,0.0,Beta,0.242,0.223,0.184
Shelter, , , ,SE,0.009,0.004,0.013
Smallappliancesmiscellaneoushousewares,1854,0.081,0.0,Beta,-0.077,0.082,0.928
Smallappliancesmiscellaneoushousewares, , , ,SE,0.055,0.026,0.085
Telephoneservices,3951,0.043,0.0,Beta,-0.068,0.209,0.249
Telephoneservices, , , ,SE,0.043,0.018,0.058
Televisionsradiosandsoundequipment,9454,0.096,0.0,Beta,0.203,0.238,0.384
Televisionsradiosandsoundequipment, , , ,SE,0.026,0.012,0.035
Tobaccoandsmokingsupplies,2610,0.064,0.0,Beta,-0.527,0.285,0.521
Tobaccoandsmokingsupplies, , , ,SE,0.065,0.029,0.09
Totalexpenditures,26856,0.323,0.0,Beta,0.252,0.285,0.334
Totalexpenditures, , , ,SE,0.008,0.004,0.012
Totalfood,26856,0.323,0.0,Beta,0.252,0.285,0.334
Totalfood, , , ,SE,0.008,0.004,0.012
Transportation,16366,0.117,0.0,Beta,0.441,0.21,0.243
Transportation, , , ,SE,0.019,0.009,0.026
Vehiclefinancecharges,42,0.015,0.004,Beta,0.377,0.217,-0.872
Vehiclefinancecharges, , , ,SE,0.43,0.252,0.557
Vehicleinsurance,11060,0.011,0.0,Beta,0.086,0.118,0.109
Vehicleinsurance, , , ,SE,0.03,0.014,0.045
Vehiclerentalleaseslicensesandothercharges,9463,0.085,0.0,Beta,0.138,0.112,0.257
Vehiclerentalleaseslicensesandothercharges, , , ,SE,0.014,0.007,0.021
Waterandotherpublicservices,24209,0.14,0.0,Beta,0.336,0.146,0.227
Waterandotherpublicservices, , , ,SE,0.01,0.005,0.015
